Date,Open,High,Low,Close,Volume,Adjustment
03-17-15,109.08,109.08,109.01,109.01,35617,
03-16-15,109.04,109.08,109.02,109.05,70024,
03-13-15,108.93,109.06,108.92,109.03,83979,
03-12-15,109,109.19,108.94,108.93,214181,
03-11-15,108.88,108.98,108.88,108.91,106248,
03-10-15,108.9,108.9,108.8,108.79,112986,
03-09-15,108.75,108.87,108.74,108.85,88495,
03-06-15,108.77,108.87,108.76,108.82,90758,
03-05-15,108.7,108.74,108.69,108.72,43324,
03-04-15,108.71,108.74,108.68,108.68,70127,
03-03-15,108.63,108.71,108.59,108.65,99216,
03-02-15,108.67,108.74,108.64,108.65,85303,
02-27-15,108.47,108.57,108.46,108.56,64568,
02-26-15,108.53,108.54,108.49,108.52,43087,
02-25-15,108.5,108.54,108.48,108.52,72604,
02-24-15,108.45,108.5,108.4,108.4,74015,
02-23-15,108.39,108.58,108.36,108.41,97116,
02-17-15,108.3,108.45,108.27,108.44,143885,
02-16-15,108.37,108.4,108.28,108.27,114758,
02-13-15,108.41,108.46,108.38,108.44,75522,
02-12-15,108.45,108.46,108.33,108.36,95037,
02-11-15,108.41,108.54,108.39,108.46,119290,
02-10-15,108.57,108.59,108.42,108.45,161668,
02-09-15,108.59,108.72,108.59,108.71,74283,
02-06-15,108.71,108.77,108.68,108.76,70771,
02-05-15,108.84,108.9,108.7,108.73,124487,
02-04-15,108.74,108.79,108.69,108.78,111127,
02-03-15,108.7,108.92,108.7,108.84,121030,
02-02-15,108.77,108.79,108.67,108.7,73835,
01-30-15,108.6,108.74,108.59,108.71,110652,
01-29-15,108.72,108.73,108.61,108.65,87911,
01-28-15,108.55,108.65,108.55,108.65,73426,
01-27-15,108.52,108.58,108.51,108.58,48400,
01-26-15,108.61,108.67,108.54,108.57,104278,
01-23-15,108.49,108.57,108.44,108.54,82182,
01-22-15,108.41,108.43,108.36,108.41,78782,
01-21-15,108.55,108.57,108.45,108.46,81318,
01-20-15,108.54,108.57,108.47,108.56,80846,
01-19-15,108.48,108.54,108.46,108.5,82625,
01-16-15,108.68,108.72,108.58,108.56,127621,
01-15-15,108.74,108.79,108.44,108.47,226221,
01-14-15,108.53,108.73,108.5,108.7,102331,
01-13-15,108.59,108.62,108.5,108.54,113673,
01-12-15,108.43,108.67,108.42,108.58,148914,
01-09-15,108.34,108.43,108.31,108.41,66322,
01-08-15,108.33,108.36,108.27,108.36,72508,
01-07-15,108.38,108.4,108.32,108.33,99462,
01-06-15,108.24,108.37,108.23,108.34,97595,
01-05-15,108.12,108.17,108.07,108.19,84337,
01-02-15,108.17,108.17,108.07,108.08,67352,
12-30-14,108.12,108.31,108.1,108.2,66107,
12-29-14,108.04,108.13,108.02,108.14,40167,
12-26-14,108.09,108.12,108.03,108.04,30433,
12-24-14,107.96,108.07,107.94,108.07,49054,
12-23-14,108.06,108.14,107.99,108.03,73205,
12-22-14,107.97,108.04,107.93,108.04,76228,
12-19-14,107.82,107.93,107.8,107.92,60375,
12-18-14,107.88,107.98,107.84,107.86,106071,
12-17-14,108.15,108.15,107.93,107.92,114477,
12-16-14,108.04,108.12,108.01,108.06,88995,
12-15-14,108.14,108.18,108.04,108.04,28426,
12-12-14,108.02,108.13,108.01,108.08,11404,
12-11-14,107.87,108.01,107.83,108,2773,
12-10-14,107.98,107.98,107.82,107.82,1211,
12-09-14,107.84,107.84,107.83,107.83,91,
12-05-14,108.02,108.02,107.9,107.9,43,
10-23-14,107.76,107.76,107.76,107.76,1,
10-14-14,107.5,107.66,107.5,107.6,22,
