Date,Open,High,Low,Close,Volume,Adjustment
06-21-16,110.53,110.59,110.53,110.57,26946,
06-20-16,110.62,110.62,110.55,110.55,73664,
06-17-16,110.65,110.67,110.62,110.66,75799,
06-16-16,110.71,110.74,110.67,110.71,88654,
06-15-16,110.62,110.67,110.62,110.64,78877,
06-14-16,110.71,110.71,110.55,110.62,102027,
06-13-16,110.71,110.74,110.7,110.71,66261,
06-10-16,110.66,110.72,110.63,110.67,85291,
06-09-16,110.57,110.71,110.55,110.66,182292,
06-08-16,110.5,110.56,110.5,110.56,102820,
06-07-16,110.51,110.52,110.48,110.48,73598,
06-03-16,110.38,110.42,110.36,110.42,59254,
06-02-16,110.37,110.39,110.34,110.36,40907,
06-01-16,110.38,110.43,110.35,110.38,125690,
05-31-16,110.18,110.21,110.15,110.17,70270,
05-30-16,110.24,110.25,110.09,110.15,96145,
05-27-16,110.29,110.3,110.25,110.28,60090,
05-26-16,110.29,110.33,110.26,110.27,67105,
05-25-16,110.35,110.35,110.29,110.29,68229,
05-24-16,110.29,110.36,110.25,110.36,121172,
05-23-16,110.28,110.3,110.26,110.29,55206,
05-20-16,110.23,110.28,110.2,110.28,75010,
05-19-16,110.21,110.21,110.15,110.21,116124,
05-18-16,110.32,110.34,110.25,110.27,100016,
05-17-16,110.35,110.37,110.31,110.33,67200,
05-16-16,110.38,110.39,110.35,110.37,60097,
05-13-16,110.4,110.47,110.32,110.37,174047,
05-12-16,110.47,110.47,110.4,110.42,82143,
05-11-16,110.47,110.49,110.44,110.45,57737,
05-10-16,110.48,110.5,110.45,110.47,51116,
05-09-16,110.42,110.5,110.41,110.46,88155,
05-04-16,110.4,110.45,110.4,110.42,60078,
05-03-16,110.3,110.4,110.28,110.37,92801,
05-02-16,110.35,110.36,110.3,110.32,52003,
04-29-16,110.39,110.39,110.34,110.34,59905,
04-28-16,110.38,110.42,110.31,110.35,131048,
04-27-16,110.32,110.35,110.31,110.33,71310,
04-26-16,110.33,110.35,110.3,110.33,64476,
04-25-16,110.31,110.35,110.3,110.31,87891,
04-22-16,110.25,110.34,110.18,110.27,179008,
04-21-16,110.24,110.26,110.19,110.23,83165,
04-20-16,110.17,110.29,110.16,110.28,141987,
04-19-16,110.07,110.19,110.02,110.17,152705,
04-18-16,110.23,110.24,110.12,110.12,83231,
04-15-16,110.12,110.19,110.11,110.19,87912,
04-14-16,110.24,110.25,110.14,110.15,126841,
04-12-16,110.3,110.31,110.28,110.3,44566,
04-11-16,110.28,110.31,110.27,110.3,70757,
04-08-16,110.35,110.36,110.26,110.3,84218,
04-07-16,110.32,110.34,110.26,110.28,109317,
04-06-16,110.36,110.37,110.31,110.33,75646,
04-05-16,110.39,110.41,110.32,110.34,94203,
04-04-16,110.36,110.39,110.35,110.39,55375,
04-01-16,110.39,110.39,110.33,110.34,101379,
03-31-16,110.33,110.39,110.3,110.36,117535,
03-30-16,110.43,110.44,110.35,110.37,103320,
03-29-16,110.31,110.4,110.29,110.37,124892,
03-28-16,110.23,110.28,110.21,110.28,48793,
03-25-16,110.18,110.23,110.15,110.22,63475,
03-24-16,110.18,110.21,110.17,110.18,57218,
03-23-16,110.12,110.14,110.09,110.14,79905,
03-22-16,110.15,110.18,110.14,110.14,54386,
03-21-16,110.17,110.24,110.16,110.2,71043,
03-18-16,110.14,110.22,110.09,110.18,102219,
03-17-16,110.13,110.25,110.09,110.13,127716,
03-16-16,110.03,110.04,109.95,110.02,106610,
03-15-16,110.07,110.11,110.01,110.05,122448,
03-14-16,109.94,110.08,109.94,110.06,52586,
03-11-16,110.1,110.13,109.99,109.99,39657,
03-10-16,110.23,110.32,110.1,110.17,13287,
03-09-16,110.25,110.27,110.22,110.23,794,
03-04-16,110,110,110,110,1,
03-03-16,110.02,110.02,110.02,110.02,1,
02-11-16,110.2,110.2,110.2,110.2,1,
